age,gender,religion,spokenLanguage,education,numberOfChildren,channel,goodPlace,goodPlaceScore,badPlace,badPlaceScore,teacherFriendly,choose,createdTime,travelTime
22,Female,Islam,English,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,VA room,3,Canteen,10,Disagree,No,29/01/2021,60
45,Female,Taoism,Cantonese,University,1,Newspaper/ Magazine,Phy Lab,10,Hall,0,Disagree,,28/01/2021,42
47,Male,Protestantism,English,University,4,Social Media,Phy Lab,5,Basketball Court,1,Strongly Disagree,Yes,29/01/2021,40
35,Male,Taoism,Cantonese,University,2,Newspaper/ Magazine,Hall,5,VA room,6,Agree,No,29/01/2021,16
59,Female,Chinese God,Filipino,University,4,Friends/Extended Family/Neighbour,Bio Lab,10,Chem Lab,2,Agree,Yes,28/01/2021,53
35,Female,Hinduism,Indonesian,Secondary School/Associate Degree/Diploma,0,Social Media,Phy Lab,7,VA room,10,Disagree,No,28/01/2021,13
32,Male,Protestantism,Cantonese,Master or above,3,School Website,Library,4,Basketball Court,9,Disagree,Yes,29/01/2021,18
27,Male,Sikhism,Mandarin,University,1,School Website,Basketball Court,8,VA room,2,Neutral,No,28/01/2021,41
19,Female,Sikhism,Cantonese,University,5,Newspaper/ Magazine,Library,1,Library,9,Strongly Disagree,Yes,28/01/2021,40
41,Male,Confucianism,Vietnamese,Master or above,5,Newspaper/ Magazine,Canteen,8,Bio Lab,7,Strongly Disagree,,28/01/2021,16
27,Male,Protestantism,Filipino,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Library,1,Library,9,Agree,No,29/01/2021,6
58,Female,Hinduism,Mandarin,Primary School or below,2,School Website,Basketball Court,4,Canteen,4,Neutral,No,29/01/2021,18
27,Male,Catholicism,Thai,Primary School or below,2,Friends/Extended Family/Neighbour,Phy Lab,2,VA room,4,Neutral,,29/01/2021,10
34,Female,Taoism,Filipino,Master or above,1,Social Media,VA room,0,Basketball Court,6,Agree,No,28/01/2021,59
35,Male,Islam,Cantonese,Primary School or below,2,Social Media,Library,9,Phy Lab,3,Strongly Agree,No,28/01/2021,45
22,Male,Chinese God,Cantonese,University,2,Friends/Extended Family/Neighbour,Basketball Court,5,Canteen,6,Neutral,No,29/01/2021,15
29,Male,Protestantism,Indonesian,Master or above,3,Newspaper/ Magazine,Canteen,3,Hall,4,Strongly Agree,No,28/01/2021,26
30,Female,Chinese God,Vietnamese,University,1,Social Media,Phy Lab,3,Bio Lab,5,Strongly Disagree,Yes,29/01/2021,53
33,Female,Protestantism,Thai,Secondary School/Associate Degree/Diploma,2,Social Media,Library,7,Phy Lab,6,Neutral,Yes,29/01/2021,35
56,Female,Islam,Indonesian,University,1,Newspaper/ Magazine,Chem Lab,4,Canteen,10,Strongly Agree,Yes,28/01/2021,60
19,Female,Hinduism,Cantonese,Primary School or below,5,Newspaper/ Magazine,Phy Lab,5,Hall,0,Strongly Disagree,,28/01/2021,42
41,Male,Confucianism,Cantonese,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,VA room,7,Library,10,Disagree,,29/01/2021,22
57,Male,Chinese God,Filipino,University,3,Newspaper/ Magazine,VA room,0,Canteen,0,Strongly Disagree,,28/01/2021,6
42,Male,Protestantism,Vietnamese,Secondary School/Associate Degree/Diploma,2,Friends/Extended Family/Neighbour,Phy Lab,1,Phy Lab,0,Strongly Disagree,No,29/01/2021,46
35,Male,Catholicism,Vietnamese,Secondary School/Associate Degree/Diploma,3,Social Media,Canteen,7,Basketball Court,10,Neutral,No,29/01/2021,10
45,Female,Hinduism,English,Primary School or below,5,Newspaper/ Magazine,Chem Lab,2,Bio Lab,10,Strongly Disagree,,28/01/2021,19
23,Male,Sikhism,English,University,1,Social Media,Library,8,Basketball Court,2,Strongly Disagree,No,29/01/2021,55
46,Male,Hinduism,Filipino,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Hall,0,Chem Lab,1,Strongly Agree,Yes,29/01/2021,18
35,Male,Confucianism,Vietnamese,Primary School or below,5,Newspaper/ Magazine,Library,10,Canteen,4,Strongly Disagree,Yes,28/01/2021,17
43,Male,Chinese God,Mandarin,Primary School or below,5,Newspaper/ Magazine,Chem Lab,3,Chem Lab,1,Strongly Disagree,No,29/01/2021,53
59,Female,Hinduism,Indonesian,University,4,School Website,Bio Lab,4,Bio Lab,10,Agree,No,28/01/2021,52
20,Female,Taoism,Thai,University,3,Friends/Extended Family/Neighbour,Basketball Court,2,Basketball Court,8,Strongly Disagree,Yes,28/01/2021,31
50,Male,Buddhism,English,University,1,School Website,Chem Lab,7,Hall,0,Disagree,No,28/01/2021,11
37,Male,Taoism,Vietnamese,Master or above,4,Newspaper/ Magazine,VA room,6,Basketball Court,3,Strongly Agree,Yes,29/01/2021,60
52,Male,Taoism,Filipino,University,1,School Website,Phy Lab,5,Library,4,Agree,Yes,28/01/2021,45
40,Female,Catholicism,Filipino,University,2,Friends/Extended Family/Neighbour,Basketball Court,10,VA room,8,Strongly Disagree,No,28/01/2021,43
60,Female,Hinduism,Mandarin,University,5,Newspaper/ Magazine,Chem Lab,9,VA room,2,Agree,No,29/01/2021,49
36,Female,Chinese God,Vietnamese,Secondary School/Associate Degree/Diploma,1,School Website,Hall,4,Canteen,6,Disagree,No,29/01/2021,23
40,Male,Hinduism,Cantonese,Master or above,3,Friends/Extended Family/Neighbour,VA room,8,Bio Lab,3,Strongly Agree,Yes,28/01/2021,7
56,Male,Buddhism,Thai,Primary School or below,0,Friends/Extended Family/Neighbour,Hall,5,Bio Lab,8,Strongly Disagree,No,28/01/2021,26
33,Female,Catholicism,Vietnamese,Master or above,3,School Website,Basketball Court,7,Hall,3,Agree,Yes,28/01/2021,18
31,Male,Catholicism,Filipino,Secondary School/Associate Degree/Diploma,0,Friends/Extended Family/Neighbour,Basketball Court,5,Library,0,Disagree,Yes,28/01/2021,43
33,Female,Chinese God,Cantonese,Secondary School/Associate Degree/Diploma,4,Newspaper/ Magazine,Phy Lab,1,Library,10,Strongly Disagree,No,29/01/2021,23
22,Female,Protestantism,Filipino,University,3,School Website,Chem Lab,6,Library,5,Strongly Agree,No,28/01/2021,18
19,Female,Sikhism,Mandarin,Secondary School/Associate Degree/Diploma,0,Friends/Extended Family/Neighbour,Canteen,6,Canteen,5,Neutral,Yes,29/01/2021,57
38,Female,Sikhism,Filipino,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Hall,3,Basketball Court,0,Strongly Agree,Yes,29/01/2021,10
37,Female,Chinese God,Indonesian,Master or above,3,Friends/Extended Family/Neighbour,Bio Lab,5,Bio Lab,7,Strongly Agree,Yes,29/01/2021,5
20,Female,Hinduism,Thai,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,Library,2,VA room,7,Strongly Agree,Yes,28/01/2021,58
36,Female,Confucianism,Thai,Primary School or below,5,Social Media,VA room,4,Hall,1,Strongly Agree,Yes,28/01/2021,7
33,Female,Buddhism,Indonesian,Primary School or below,3,School Website,Canteen,4,Library,10,Strongly Disagree,Yes,28/01/2021,57
34,Female,Protestantism,Filipino,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Basketball Court,5,Canteen,0,Disagree,Yes,29/01/2021,42
44,Male,Protestantism,Cantonese,Secondary School/Associate Degree/Diploma,4,School Website,Canteen,6,Canteen,7,Agree,No,29/01/2021,38
23,Male,Protestantism,Filipino,University,4,Social Media,Hall,1,VA room,5,Neutral,Yes,29/01/2021,55
20,Male,Confucianism,Vietnamese,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,Phy Lab,6,Canteen,9,Strongly Agree,Yes,28/01/2021,7
50,Female,Protestantism,Vietnamese,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Bio Lab,6,Chem Lab,5,Agree,,29/01/2021,49
38,Female,Sikhism,Cantonese,University,0,School Website,Basketball Court,8,Phy Lab,1,Strongly Agree,No,28/01/2021,38
40,Female,Protestantism,Filipino,University,1,School Website,Library,0,Hall,8,Strongly Disagree,Yes,29/01/2021,16
26,Bigender,Islam,Mandarin,Primary School or below,3,Newspaper/ Magazine,Chem Lab,1,Basketball Court,2,Strongly Disagree,Yes,29/01/2021,14
40,Female,Confucianism,Filipino,University,2,Social Media,Basketball Court,10,Phy Lab,7,Strongly Agree,Yes,28/01/2021,40
60,Female,Hinduism,Cantonese,Primary School or below,2,Friends/Extended Family/Neighbour,Chem Lab,0,Chem Lab,3,Agree,Yes,29/01/2021,37
20,Male,Sikhism,Indonesian,University,4,Friends/Extended Family/Neighbour,Chem Lab,10,Chem Lab,9,Strongly Agree,Yes,28/01/2021,26
28,Female,Protestantism,Thai,Secondary School/Associate Degree/Diploma,4,Social Media,VA room,2,Library,0,Strongly Agree,No,29/01/2021,59
57,Female,Hinduism,Cantonese,University,1,School Website,Chem Lab,7,Chem Lab,8,Disagree,,28/01/2021,10
42,Female,Islam,Mandarin,Secondary School/Associate Degree/Diploma,5,School Website,Bio Lab,2,Bio Lab,7,Agree,Yes,28/01/2021,54
54,Female,Protestantism,Vietnamese,Master or above,3,Friends/Extended Family/Neighbour,Hall,5,Canteen,10,Disagree,No,29/01/2021,55
32,Female,Taoism,Filipino,Master or above,1,Social Media,Bio Lab,9,Basketball Court,7,Strongly Agree,No,29/01/2021,7
36,Female,Islam,Vietnamese,University,1,School Website,Bio Lab,6,Library,2,Neutral,No,29/01/2021,44
59,Male,Islam,Vietnamese,Master or above,3,Friends/Extended Family/Neighbour,Hall,4,Basketball Court,6,Neutral,No,28/01/2021,6
55,Male,Hinduism,Vietnamese,University,3,Newspaper/ Magazine,Canteen,9,Bio Lab,2,Disagree,Yes,28/01/2021,60
22,Male,Catholicism,Vietnamese,Primary School or below,5,Social Media,VA room,7,Bio Lab,10,Strongly Disagree,Yes,29/01/2021,21
34,Male,Taoism,English,Secondary School/Associate Degree/Diploma,5,Newspaper/ Magazine,Chem Lab,10,Phy Lab,7,Neutral,,29/01/2021,13
60,Female,Sikhism,Vietnamese,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Phy Lab,4,Library,4,Strongly Agree,Yes,28/01/2021,58
24,Male,Sikhism,Indonesian,Secondary School/Associate Degree/Diploma,1,School Website,Canteen,7,VA room,8,Strongly Agree,No,29/01/2021,59
25,Male,Protestantism,Cantonese,Primary School or below,3,Newspaper/ Magazine,Bio Lab,6,Phy Lab,9,Agree,Yes,28/01/2021,15
36,Female,Chinese God,Vietnamese,Master or above,3,Newspaper/ Magazine,Basketball Court,2,Phy Lab,10,Neutral,,28/01/2021,34
43,Female,Confucianism,Indonesian,University,5,Newspaper/ Magazine,Canteen,8,Canteen,2,Neutral,,28/01/2021,59
47,Male,Islam,Cantonese,University,1,Friends/Extended Family/Neighbour,Bio Lab,1,Hall,7,Neutral,No,29/01/2021,32
39,Female,Confucianism,Filipino,Primary School or below,1,Friends/Extended Family/Neighbour,Hall,1,Hall,10,Agree,Yes,29/01/2021,14
51,Polygender,Islam,Indonesian,Secondary School/Associate Degree/Diploma,1,Social Media,Canteen,1,Canteen,6,Neutral,No,29/01/2021,24
29,Male,Taoism,Filipino,Primary School or below,3,School Website,Bio Lab,2,Basketball Court,5,Disagree,Yes,29/01/2021,36
45,Female,Chinese God,Mandarin,Primary School or below,1,School Website,VA room,2,Basketball Court,0,Agree,Yes,29/01/2021,39
26,Female,Islam,Thai,Master or above,3,Friends/Extended Family/Neighbour,VA room,3,Bio Lab,4,Strongly Disagree,No,29/01/2021,22
55,Female,Hinduism,Cantonese,Primary School or below,0,Social Media,Hall,4,Library,7,Strongly Disagree,Yes,28/01/2021,24
49,Male,Confucianism,Cantonese,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Library,7,Hall,2,Strongly Agree,Yes,28/01/2021,9
28,Male,Islam,Indonesian,University,1,Friends/Extended Family/Neighbour,Canteen,3,Bio Lab,10,Disagree,No,28/01/2021,42
18,Female,Confucianism,Mandarin,University,0,Social Media,Library,5,Bio Lab,10,Agree,,28/01/2021,32
42,Male,Taoism,Filipino,Secondary School/Associate Degree/Diploma,1,School Website,Basketball Court,7,Basketball Court,7,Strongly Agree,Yes,28/01/2021,45
29,Genderqueer,Confucianism,English,University,3,School Website,Hall,0,Chem Lab,0,Agree,No,28/01/2021,15
51,Male,Sikhism,Thai,Primary School or below,2,School Website,Hall,3,Bio Lab,8,Disagree,Yes,28/01/2021,52
23,Male,Confucianism,Cantonese,Primary School or below,3,School Website,VA room,0,Phy Lab,5,Neutral,,29/01/2021,37
20,Male,Confucianism,Mandarin,Secondary School/Associate Degree/Diploma,3,Social Media,Phy Lab,9,Basketball Court,0,Strongly Disagree,No,29/01/2021,28
51,Male,Buddhism,Vietnamese,Secondary School/Associate Degree/Diploma,5,Newspaper/ Magazine,Chem Lab,7,Phy Lab,3,Strongly Disagree,Yes,28/01/2021,5
51,Male,Chinese God,Mandarin,Master or above,2,Friends/Extended Family/Neighbour,Basketball Court,10,Hall,4,Strongly Agree,No,29/01/2021,47
43,Female,Hinduism,Vietnamese,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,Hall,6,VA room,10,Strongly Disagree,No,28/01/2021,52
29,Male,Islam,Thai,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Library,6,Bio Lab,10,Strongly Agree,,29/01/2021,35
52,Male,Taoism,Cantonese,University,5,Newspaper/ Magazine,Basketball Court,4,Bio Lab,8,Disagree,Yes,28/01/2021,42
35,Male,Sikhism,Cantonese,Secondary School/Associate Degree/Diploma,3,Social Media,VA room,9,Canteen,5,Agree,No,28/01/2021,37
24,Female,Hinduism,Mandarin,Primary School or below,5,Social Media,VA room,4,Phy Lab,4,Strongly Agree,Yes,29/01/2021,13
47,Female,Hinduism,Indonesian,Master or above,5,School Website,Hall,1,Library,4,Strongly Agree,Yes,29/01/2021,35
38,Female,Islam,Thai,Secondary School/Associate Degree/Diploma,5,School Website,Phy Lab,1,Phy Lab,7,Strongly Disagree,No,29/01/2021,54
60,Female,Chinese God,Mandarin,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Chem Lab,10,Canteen,5,Strongly Disagree,Yes,29/01/2021,31
43,Male,Sikhism,Mandarin,Master or above,0,Friends/Extended Family/Neighbour,Bio Lab,3,Canteen,7,Strongly Agree,Yes,28/01/2021,44
42,Male,Confucianism,English,Secondary School/Associate Degree/Diploma,4,Friends/Extended Family/Neighbour,Library,2,Library,0,Neutral,Yes,28/01/2021,21
49,Female,Sikhism,English,University,2,Friends/Extended Family/Neighbour,Bio Lab,8,Hall,8,Agree,Yes,28/01/2021,19
31,Male,Taoism,Filipino,University,5,School Website,Library,8,Chem Lab,3,Strongly Agree,No,29/01/2021,42
49,Male,Taoism,Indonesian,Primary School or below,0,Friends/Extended Family/Neighbour,Phy Lab,7,Library,8,Agree,No,28/01/2021,12
28,Female,Chinese God,Cantonese,Secondary School/Associate Degree/Diploma,1,Newspaper/ Magazine,Hall,6,Phy Lab,7,Neutral,Yes,29/01/2021,60
36,Female,Hinduism,Vietnamese,Secondary School/Associate Degree/Diploma,5,Newspaper/ Magazine,Phy Lab,0,Bio Lab,6,Strongly Agree,No,29/01/2021,6
21,Male,Sikhism,Indonesian,Secondary School/Associate Degree/Diploma,0,Friends/Extended Family/Neighbour,Bio Lab,9,Basketball Court,2,Strongly Agree,,29/01/2021,39
46,Male,Taoism,Vietnamese,University,3,Social Media,Chem Lab,3,Library,2,Disagree,No,29/01/2021,31
35,Male,Protestantism,Vietnamese,Secondary School/Associate Degree/Diploma,5,School Website,Library,7,VA room,3,Strongly Disagree,Yes,29/01/2021,44
33,Female,Catholicism,Thai,Master or above,4,School Website,Canteen,8,Library,4,Neutral,,29/01/2021,49
20,Male,Protestantism,Thai,Master or above,5,Social Media,Hall,10,Library,0,Disagree,Yes,28/01/2021,7
27,Female,Hinduism,Mandarin,Master or above,3,School Website,Canteen,7,VA room,8,Neutral,Yes,29/01/2021,56
33,Male,Taoism,Mandarin,Master or above,1,Friends/Extended Family/Neighbour,VA room,6,Hall,3,Strongly Agree,Yes,29/01/2021,46
55,Female,Catholicism,Mandarin,Primary School or below,1,School Website,Hall,6,Phy Lab,7,Strongly Agree,,29/01/2021,37
24,Male,Taoism,Cantonese,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Library,8,Library,2,Neutral,No,28/01/2021,36
33,Male,Catholicism,Cantonese,Master or above,0,Newspaper/ Magazine,Phy Lab,6,Bio Lab,0,Strongly Disagree,Yes,28/01/2021,51
51,Male,Hinduism,Mandarin,Master or above,2,Social Media,Chem Lab,5,Chem Lab,9,Disagree,No,28/01/2021,11
43,Female,Sikhism,English,Primary School or below,2,Newspaper/ Magazine,Chem Lab,6,Library,0,Strongly Agree,No,28/01/2021,33
49,Male,Hinduism,Cantonese,Secondary School/Associate Degree/Diploma,1,Newspaper/ Magazine,VA room,6,Hall,3,Strongly Agree,Yes,29/01/2021,11
24,Female,Protestantism,Vietnamese,University,5,Social Media,Library,2,Chem Lab,10,Disagree,Yes,29/01/2021,8
31,Bigender,Islam,Thai,Secondary School/Associate Degree/Diploma,1,Social Media,Basketball Court,0,Hall,7,Strongly Agree,Yes,29/01/2021,27
43,Female,Taoism,Filipino,Master or above,1,Friends/Extended Family/Neighbour,Basketball Court,7,Canteen,2,Agree,Yes,28/01/2021,19
44,Male,Sikhism,Vietnamese,Master or above,3,Friends/Extended Family/Neighbour,Bio Lab,2,Hall,10,Neutral,Yes,28/01/2021,29
48,Female,Hinduism,Indonesian,Primary School or below,0,Social Media,Phy Lab,3,Canteen,6,Agree,No,28/01/2021,37
55,Male,Taoism,Mandarin,Primary School or below,5,Social Media,Canteen,3,Chem Lab,9,Strongly Disagree,Yes,28/01/2021,5
35,Male,Confucianism,Cantonese,Primary School or below,4,Social Media,Library,5,Phy Lab,4,Strongly Disagree,Yes,29/01/2021,14
54,Male,Sikhism,English,University,5,School Website,Chem Lab,2,VA room,9,Strongly Disagree,No,28/01/2021,56
39,Female,Confucianism,Cantonese,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Chem Lab,3,Library,2,Strongly Agree,Yes,29/01/2021,26
27,Male,Buddhism,Cantonese,Master or above,3,Newspaper/ Magazine,Chem Lab,8,Chem Lab,5,Strongly Agree,,28/01/2021,35
57,Female,Buddhism,Filipino,University,1,Social Media,VA room,2,Hall,5,Strongly Disagree,No,28/01/2021,13
30,Male,Hinduism,Mandarin,University,2,School Website,Canteen,10,Phy Lab,0,Agree,Yes,28/01/2021,17
36,Male,Catholicism,Indonesian,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,Phy Lab,6,Phy Lab,3,Agree,No,29/01/2021,60
23,Male,Taoism,Filipino,University,0,Friends/Extended Family/Neighbour,Bio Lab,3,Phy Lab,7,Agree,No,28/01/2021,10
42,Female,Hinduism,Filipino,Primary School or below,2,Friends/Extended Family/Neighbour,Library,1,Basketball Court,7,Agree,Yes,28/01/2021,53
56,Female,Protestantism,Vietnamese,Master or above,4,Social Media,VA room,9,Hall,10,Strongly Disagree,,29/01/2021,46
30,Female,Taoism,Filipino,University,2,Social Media,Library,3,Bio Lab,10,Neutral,Yes,28/01/2021,41
54,Male,Chinese God,Indonesian,Primary School or below,0,Social Media,Library,5,Bio Lab,9,Disagree,Yes,29/01/2021,7
47,Male,Taoism,Vietnamese,Primary School or below,0,School Website,Bio Lab,8,Canteen,9,Disagree,Yes,28/01/2021,16
60,Female,Buddhism,Cantonese,Secondary School/Associate Degree/Diploma,3,Social Media,VA room,1,Hall,8,Disagree,Yes,29/01/2021,52
26,Male,Protestantism,English,Secondary School/Associate Degree/Diploma,2,School Website,Phy Lab,4,Phy Lab,10,Strongly Disagree,,28/01/2021,32
51,Male,Sikhism,Mandarin,Primary School or below,0,School Website,Canteen,5,Canteen,8,Neutral,Yes,29/01/2021,51
19,Female,Protestantism,Thai,University,1,School Website,VA room,2,Library,9,Strongly Disagree,Yes,28/01/2021,58
25,Female,Confucianism,Vietnamese,University,5,Friends/Extended Family/Neighbour,Hall,5,Basketball Court,0,Strongly Disagree,Yes,29/01/2021,53
59,Female,Protestantism,Filipino,University,5,Newspaper/ Magazine,Library,9,Canteen,7,Strongly Agree,No,28/01/2021,57
20,Genderqueer,Protestantism,Cantonese,University,1,Social Media,Hall,8,Bio Lab,1,Disagree,,28/01/2021,46
45,Male,Islam,Indonesian,Master or above,2,School Website,Chem Lab,5,VA room,5,Agree,No,29/01/2021,34
29,Female,Catholicism,Vietnamese,University,2,Friends/Extended Family/Neighbour,Chem Lab,7,Library,2,Strongly Agree,Yes,29/01/2021,18
25,Male,Hinduism,Thai,Primary School or below,0,Friends/Extended Family/Neighbour,Phy Lab,1,Canteen,2,Strongly Disagree,No,29/01/2021,8
39,Agender,Sikhism,Indonesian,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,Canteen,5,Bio Lab,0,Neutral,Yes,28/01/2021,24
36,Male,Chinese God,Thai,University,1,Newspaper/ Magazine,Hall,3,Phy Lab,5,Agree,Yes,29/01/2021,42
27,Female,Buddhism,Filipino,Secondary School/Associate Degree/Diploma,4,Newspaper/ Magazine,Hall,8,Bio Lab,9,Strongly Agree,No,28/01/2021,38
30,Male,Catholicism,Mandarin,Secondary School/Associate Degree/Diploma,0,Friends/Extended Family/Neighbour,Bio Lab,5,Bio Lab,8,Disagree,Yes,29/01/2021,20
41,Male,Islam,Filipino,University,0,Newspaper/ Magazine,Bio Lab,10,Basketball Court,6,Strongly Agree,Yes,28/01/2021,55
55,Female,Sikhism,Cantonese,University,1,Friends/Extended Family/Neighbour,Library,9,Canteen,0,Disagree,No,28/01/2021,28
33,Male,Chinese God,Filipino,Primary School or below,3,Friends/Extended Family/Neighbour,VA room,0,Bio Lab,1,Neutral,,29/01/2021,35
20,Female,Buddhism,English,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Phy Lab,0,Library,4,Strongly Agree,No,28/01/2021,46
43,Male,Buddhism,Vietnamese,Secondary School/Associate Degree/Diploma,1,School Website,Basketball Court,4,Canteen,10,Agree,Yes,28/01/2021,36
37,Female,Chinese God,Mandarin,University,0,Friends/Extended Family/Neighbour,Chem Lab,1,Library,9,Agree,Yes,29/01/2021,21
54,Female,Chinese God,Cantonese,Primary School or below,4,Social Media,Canteen,9,Bio Lab,1,Agree,Yes,28/01/2021,14
23,Male,Hinduism,Cantonese,University,1,Newspaper/ Magazine,Bio Lab,6,Basketball Court,1,Disagree,Yes,28/01/2021,8
28,Female,Islam,Cantonese,Secondary School/Associate Degree/Diploma,3,School Website,Chem Lab,7,Chem Lab,7,Disagree,No,28/01/2021,36
18,Female,Confucianism,Vietnamese,Master or above,3,Social Media,Bio Lab,9,Phy Lab,0,Strongly Disagree,Yes,29/01/2021,33
27,Female,Taoism,Vietnamese,Master or above,3,School Website,Hall,10,Bio Lab,10,Strongly Disagree,No,29/01/2021,56
54,Female,Buddhism,English,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Library,8,Canteen,3,Strongly Disagree,,28/01/2021,38
55,Male,Sikhism,Thai,Primary School or below,5,Social Media,Hall,0,Hall,7,Neutral,No,28/01/2021,33
18,Male,Confucianism,Vietnamese,Master or above,4,Social Media,Basketball Court,6,Phy Lab,9,Disagree,Yes,28/01/2021,14
38,Female,Chinese God,Vietnamese,Secondary School/Associate Degree/Diploma,2,Friends/Extended Family/Neighbour,Canteen,2,Canteen,0,Strongly Disagree,No,28/01/2021,52
41,Genderqueer,Sikhism,Cantonese,Primary School or below,1,School Website,Phy Lab,8,Phy Lab,0,Disagree,No,28/01/2021,23
52,Male,Chinese God,Vietnamese,Master or above,3,School Website,Basketball Court,1,Library,5,Strongly Disagree,No,28/01/2021,35
47,Female,Chinese God,English,Master or above,5,Friends/Extended Family/Neighbour,Library,8,Library,8,Strongly Agree,No,29/01/2021,10
21,Male,Protestantism,Thai,Master or above,3,Social Media,Canteen,8,Basketball Court,4,Strongly Disagree,,29/01/2021,57
25,Female,Taoism,English,Master or above,1,Social Media,Bio Lab,2,Library,4,Disagree,Yes,29/01/2021,41
49,Female,Chinese God,Mandarin,Master or above,5,Friends/Extended Family/Neighbour,Canteen,3,Basketball Court,3,Disagree,No,28/01/2021,42
38,Female,Protestantism,Thai,Primary School or below,0,Friends/Extended Family/Neighbour,Canteen,8,Phy Lab,0,Strongly Disagree,Yes,29/01/2021,50
20,Bigender,Protestantism,English,Primary School or below,2,Friends/Extended Family/Neighbour,Library,9,VA room,2,Agree,No,28/01/2021,48
33,Male,Protestantism,Indonesian,Master or above,2,Social Media,Library,2,Phy Lab,7,Strongly Agree,,28/01/2021,46
60,Male,Chinese God,Indonesian,Primary School or below,1,Social Media,Library,2,VA room,9,Strongly Agree,Yes,28/01/2021,35
23,Female,Sikhism,Vietnamese,University,2,Friends/Extended Family/Neighbour,Hall,7,Hall,8,Disagree,Yes,29/01/2021,40
26,Male,Protestantism,Filipino,University,3,Friends/Extended Family/Neighbour,Hall,7,VA room,4,Strongly Disagree,No,29/01/2021,37
31,Female,Buddhism,Vietnamese,University,4,Friends/Extended Family/Neighbour,Bio Lab,2,Library,1,Disagree,Yes,29/01/2021,6
31,Male,Catholicism,Vietnamese,University,2,School Website,VA room,7,Phy Lab,3,Disagree,,29/01/2021,17
48,Male,Sikhism,Cantonese,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Bio Lab,8,Library,9,Disagree,No,28/01/2021,7
20,Male,Protestantism,Indonesian,Secondary School/Associate Degree/Diploma,0,School Website,Bio Lab,10,Phy Lab,2,Strongly Agree,Yes,29/01/2021,36
51,Female,Sikhism,English,Primary School or below,2,Social Media,Basketball Court,5,Bio Lab,8,Strongly Disagree,,28/01/2021,39
25,Female,Sikhism,Filipino,Primary School or below,4,School Website,Phy Lab,1,Bio Lab,10,Strongly Disagree,Yes,29/01/2021,11
29,Female,Sikhism,Vietnamese,University,1,Social Media,Phy Lab,6,Canteen,5,Strongly Agree,Yes,29/01/2021,39
42,Male,Buddhism,Filipino,University,4,Newspaper/ Magazine,Canteen,0,Canteen,10,Strongly Disagree,No,28/01/2021,28
32,Male,Protestantism,Cantonese,Primary School or below,5,Newspaper/ Magazine,Phy Lab,4,VA room,4,Strongly Agree,Yes,28/01/2021,52
33,Female,Chinese God,Cantonese,Primary School or below,2,Newspaper/ Magazine,Hall,9,Canteen,3,Disagree,Yes,29/01/2021,25
28,Female,Islam,Thai,Master or above,3,Friends/Extended Family/Neighbour,Chem Lab,1,Basketball Court,10,Agree,Yes,29/01/2021,57
27,Female,Hinduism,Mandarin,Secondary School/Associate Degree/Diploma,5,Social Media,Hall,7,Library,0,Disagree,Yes,28/01/2021,7
49,Male,Catholicism,Filipino,Secondary School/Associate Degree/Diploma,4,School Website,Chem Lab,5,Basketball Court,5,Strongly Agree,Yes,29/01/2021,56
28,Male,Catholicism,Mandarin,Secondary School/Associate Degree/Diploma,1,Social Media,VA room,6,Bio Lab,7,Neutral,No,28/01/2021,47
41,Female,Protestantism,Indonesian,Master or above,4,School Website,Chem Lab,1,Chem Lab,8,Disagree,,28/01/2021,52
31,Genderfluid,Protestantism,Indonesian,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,VA room,1,Basketball Court,0,Disagree,Yes,29/01/2021,40
56,Male,Hinduism,Cantonese,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Library,10,Phy Lab,10,Agree,Yes,29/01/2021,54
36,Female,Taoism,Indonesian,University,1,School Website,Hall,7,Hall,2,Agree,Yes,28/01/2021,34
40,Male,Hinduism,Vietnamese,University,1,School Website,Chem Lab,10,Bio Lab,0,Strongly Agree,No,29/01/2021,8
