age,gender,religion,spokenLanguage,education,numberOfChildren,channel,goodPlace,goodPlaceScore,badPlace,badPlaceScore,teacherFriendly,choose,createdTime,themeLevel
45,Male,Islam,English,University,0,Newspaper/ Magazine,Bio Lab,7,Hall,10,Strongly Agree,No,28/01/2020,Strongly Dislike
52,Female,Buddhism,English,University,1,School Website,Phy Lab,3,Bio Lab,4,Disagree,No,28/01/2020,Strongly Dislike
44,Female,Taoism,Filipino,Master or above,2,Newspaper/ Magazine,Canteen,4,Phy Lab,1,Agree,No,28/01/2020,Strongly Like
47,Female,Buddhism,English,Master or above,3,Newspaper/ Magazine,Basketball Court,4,Chem Lab,10,Disagree,Yes,28/01/2020,Partly Dislike
42,Female,Taoism,Filipino,Master or above,2,School Website,Library,6,Basketball Court,8,Disagree,Yes,28/01/2020,Strongly Dislike
38,Female,Confucianism,Indonesian,University,3,Social Media,Hall,6,Phy Lab,1,Disagree,Yes,28/01/2020,Strongly Dislike
59,Male,Taoism,Cantonese,Secondary School/Associate Degree/Diploma,3,School Website,Canteen,6,Basketball Court,9,Strongly Disagree,Yes,29/01/2020,Partly Like
34,Male,Protestantism,Indonesian,Primary School or below,4,Social Media,Phy Lab,0,Phy Lab,1,Strongly Disagree,Yes,29/01/2020,Normal
37,Female,Hinduism,Thai,Primary School or below,2,School Website,Phy Lab,8,Hall,0,Neutral,Yes,29/01/2020,Strongly Like
24,Male,Islam,English,University,5,Friends/Extended Family/Neighbour,Canteen,3,Bio Lab,10,Strongly Agree,Yes,29/01/2020,Partly Like
38,Male,Islam,Filipino,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Bio Lab,6,Basketball Court,3,Neutral,Yes,28/01/2020,Normal
49,Female,Protestantism,Mandarin,University,3,School Website,Chem Lab,6,VA room,5,Neutral,Yes,28/01/2020,Strongly Dislike
45,Non-binary,Taoism,Indonesian,Primary School or below,2,School Website,Basketball Court,4,Bio Lab,4,Agree,No,28/01/2020,Partly Dislike
50,Bigender,Confucianism,English,Master or above,5,Social Media,Library,9,Phy Lab,1,Disagree,No,29/01/2020,Partly Like
28,Male,Hinduism,Vietnamese,Primary School or below,5,Newspaper/ Magazine,Basketball Court,10,Bio Lab,3,Agree,,29/01/2020,Partly Dislike
37,Female,Catholicism,Vietnamese,University,4,School Website,Library,1,Basketball Court,7,Neutral,No,29/01/2020,Normal
21,Female,Islam,Vietnamese,University,2,Newspaper/ Magazine,Chem Lab,9,Chem Lab,9,Strongly Agree,No,29/01/2020,Partly Like
30,Male,Islam,Mandarin,Secondary School/Associate Degree/Diploma,2,Friends/Extended Family/Neighbour,Bio Lab,5,Bio Lab,8,Neutral,Yes,29/01/2020,Partly Like
51,Female,Taoism,Thai,Primary School or below,0,School Website,Hall,2,Library,10,Strongly Disagree,Yes,29/01/2020,Partly Dislike
26,Female,Taoism,English,Secondary School/Associate Degree/Diploma,5,Social Media,Chem Lab,5,Canteen,5,Disagree,No,28/01/2020,Strongly Dislike
34,Female,Islam,Vietnamese,University,0,Friends/Extended Family/Neighbour,Phy Lab,9,Hall,1,Strongly Agree,Yes,29/01/2020,Partly Dislike
31,Female,Protestantism,Mandarin,Secondary School/Associate Degree/Diploma,2,Friends/Extended Family/Neighbour,Chem Lab,1,Basketball Court,3,Strongly Disagree,Yes,28/01/2020,Normal
49,Female,Sikhism,Filipino,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Phy Lab,9,VA room,9,Strongly Agree,Yes,28/01/2020,Partly Like
55,Female,Buddhism,Cantonese,Master or above,2,Friends/Extended Family/Neighbour,Canteen,8,Chem Lab,10,Strongly Agree,Yes,29/01/2020,Normal
41,Male,Sikhism,English,University,2,Newspaper/ Magazine,Hall,2,Chem Lab,8,Strongly Disagree,No,29/01/2020,Strongly Dislike
33,Male,Confucianism,Thai,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Canteen,5,Hall,5,Strongly Disagree,No,29/01/2020,Partly Dislike
57,Male,Catholicism,Filipino,Master or above,5,Friends/Extended Family/Neighbour,Phy Lab,2,Phy Lab,2,Disagree,Yes,28/01/2020,Normal
48,Male,Hinduism,Vietnamese,Master or above,4,Social Media,Hall,3,Library,10,Disagree,No,29/01/2020,Normal
27,Male,Catholicism,Filipino,Primary School or below,0,Friends/Extended Family/Neighbour,Phy Lab,3,Hall,8,Strongly Disagree,No,29/01/2020,Normal
35,Male,Taoism,English,University,1,Social Media,VA room,1,Library,10,Strongly Disagree,Yes,28/01/2020,Strongly Dislike
49,Female,Chinese God,English,Master or above,1,School Website,Hall,10,Hall,5,Disagree,Yes,29/01/2020,Strongly Like
19,Female,Chinese God,Cantonese,Master or above,2,School Website,Phy Lab,5,Hall,10,Disagree,Yes,28/01/2020,Strongly Like
59,Female,Sikhism,Mandarin,University,0,Friends/Extended Family/Neighbour,Basketball Court,0,Chem Lab,6,Neutral,Yes,29/01/2020,Partly Like
46,Female,Taoism,Thai,Master or above,2,Social Media,VA room,6,Basketball Court,7,Strongly Agree,No,29/01/2020,Partly Dislike
55,Male,Confucianism,Cantonese,University,5,Newspaper/ Magazine,VA room,4,VA room,3,Strongly Agree,Yes,29/01/2020,Strongly Like
47,Male,Islam,Mandarin,University,5,School Website,Basketball Court,2,Library,8,Strongly Agree,,28/01/2020,Strongly Dislike
49,Male,Confucianism,Vietnamese,Master or above,5,School Website,Basketball Court,4,Chem Lab,6,Neutral,No,29/01/2020,Strongly Like
52,Female,Islam,Indonesian,Secondary School/Associate Degree/Diploma,4,Newspaper/ Magazine,Phy Lab,0,Basketball Court,1,Strongly Agree,Yes,29/01/2020,Strongly Like
56,Genderfluid,Islam,Cantonese,Secondary School/Associate Degree/Diploma,3,School Website,Phy Lab,0,Chem Lab,0,Strongly Disagree,Yes,28/01/2020,Partly Like
33,Male,Taoism,Filipino,Secondary School/Associate Degree/Diploma,1,Newspaper/ Magazine,Hall,4,Canteen,1,Strongly Disagree,Yes,29/01/2020,Partly Dislike
29,Non-binary,Sikhism,Mandarin,University,3,Newspaper/ Magazine,Bio Lab,2,Library,2,Strongly Disagree,,28/01/2020,Strongly Dislike
55,Female,Confucianism,Mandarin,Primary School or below,3,Social Media,Chem Lab,8,Bio Lab,8,Strongly Agree,,29/01/2020,Partly Like
28,Male,Catholicism,Vietnamese,Secondary School/Associate Degree/Diploma,0,Friends/Extended Family/Neighbour,Canteen,6,Library,8,Strongly Agree,No,29/01/2020,Strongly Like
36,Male,Islam,Indonesian,Primary School or below,2,Newspaper/ Magazine,Chem Lab,10,Basketball Court,2,Strongly Agree,Yes,28/01/2020,Partly Like
37,Female,Protestantism,Mandarin,University,1,Social Media,Library,10,Canteen,0,Disagree,No,28/01/2020,Partly Dislike
44,Female,Buddhism,English,Secondary School/Associate Degree/Diploma,4,School Website,Bio Lab,2,Hall,1,Strongly Disagree,No,28/01/2020,Strongly Dislike
35,Female,Buddhism,English,Master or above,3,Friends/Extended Family/Neighbour,Bio Lab,4,VA room,3,Neutral,No,28/01/2020,Strongly Dislike
21,Female,Catholicism,Cantonese,University,0,Newspaper/ Magazine,Phy Lab,3,Phy Lab,6,Agree,Yes,29/01/2020,Strongly Dislike
57,Female,Chinese God,Indonesian,Secondary School/Associate Degree/Diploma,5,Social Media,VA room,6,Chem Lab,5,Strongly Disagree,No,29/01/2020,Strongly Dislike
57,Male,Hinduism,Cantonese,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Library,8,Chem Lab,8,Strongly Agree,No,28/01/2020,Partly Like
22,Genderfluid,Taoism,English,University,2,Social Media,Chem Lab,10,Library,5,Strongly Disagree,No,29/01/2020,Partly Like
33,Male,Protestantism,Cantonese,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Chem Lab,3,Chem Lab,8,Strongly Disagree,Yes,28/01/2020,Strongly Like
44,Female,Catholicism,Vietnamese,Secondary School/Associate Degree/Diploma,2,Friends/Extended Family/Neighbour,Bio Lab,3,Basketball Court,2,Strongly Disagree,No,28/01/2020,Partly Dislike
26,Male,Protestantism,Cantonese,University,2,Friends/Extended Family/Neighbour,Canteen,4,Chem Lab,2,Disagree,Yes,28/01/2020,Partly Like
59,Male,Islam,Cantonese,Secondary School/Associate Degree/Diploma,5,Social Media,Chem Lab,4,Bio Lab,7,Neutral,,28/01/2020,Partly Like
29,Genderqueer,Hinduism,English,University,1,School Website,Basketball Court,10,Basketball Court,0,Neutral,No,29/01/2020,Strongly Like
21,Male,Islam,Cantonese,Primary School or below,1,Newspaper/ Magazine,VA room,8,Hall,5,Agree,Yes,28/01/2020,Partly Dislike
30,Female,Hinduism,Mandarin,Secondary School/Associate Degree/Diploma,4,Newspaper/ Magazine,VA room,2,Canteen,6,Strongly Disagree,Yes,28/01/2020,Partly Like
42,Female,Buddhism,Filipino,Primary School or below,2,Social Media,Bio Lab,1,Library,5,Strongly Agree,No,29/01/2020,Partly Dislike
55,Male,Chinese God,Thai,Primary School or below,3,Newspaper/ Magazine,Canteen,8,Hall,1,Agree,No,29/01/2020,Strongly Dislike
55,Male,Hinduism,Vietnamese,Master or above,5,Friends/Extended Family/Neighbour,Chem Lab,5,Canteen,5,Strongly Disagree,Yes,28/01/2020,Partly Dislike
30,Male,Confucianism,Vietnamese,Secondary School/Associate Degree/Diploma,0,Friends/Extended Family/Neighbour,Library,0,Hall,4,Strongly Agree,No,29/01/2020,Partly Dislike
43,Female,Chinese God,Vietnamese,Primary School or below,2,Social Media,VA room,10,Library,4,Neutral,Yes,29/01/2020,Partly Dislike
55,Male,Hinduism,Vietnamese,Primary School or below,1,Newspaper/ Magazine,Chem Lab,1,Basketball Court,8,Strongly Disagree,Yes,28/01/2020,Strongly Dislike
21,Female,Catholicism,English,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Canteen,1,Bio Lab,8,Strongly Agree,,29/01/2020,Strongly Like
21,Female,Confucianism,Indonesian,Primary School or below,2,Social Media,Hall,7,Phy Lab,6,Strongly Disagree,Yes,28/01/2020,Strongly Like
49,Male,Chinese God,Mandarin,Primary School or below,0,Social Media,Chem Lab,10,Library,10,Strongly Agree,Yes,28/01/2020,Normal
44,Female,Sikhism,Vietnamese,University,1,Newspaper/ Magazine,VA room,4,Library,1,Disagree,Yes,29/01/2020,Normal
36,Female,Sikhism,Cantonese,University,1,School Website,Hall,9,Hall,5,Disagree,No,29/01/2020,Strongly Dislike
27,Male,Catholicism,Thai,Master or above,2,Friends/Extended Family/Neighbour,Basketball Court,3,Canteen,8,Disagree,Yes,29/01/2020,Partly Dislike
36,Female,Confucianism,Mandarin,Master or above,4,Friends/Extended Family/Neighbour,Phy Lab,1,Basketball Court,6,Neutral,,29/01/2020,Strongly Dislike
38,Female,Sikhism,Filipino,Master or above,1,Newspaper/ Magazine,VA room,1,Bio Lab,5,Strongly Disagree,Yes,29/01/2020,Partly Like
29,Genderfluid,Buddhism,Indonesian,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,Phy Lab,10,Canteen,10,Strongly Agree,No,28/01/2020,Partly Like
22,Male,Buddhism,Thai,Primary School or below,1,Newspaper/ Magazine,Phy Lab,5,Hall,5,Neutral,No,28/01/2020,Partly Like
41,Female,Hinduism,Thai,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Phy Lab,2,Canteen,1,Neutral,Yes,29/01/2020,Partly Like
40,Male,Catholicism,Filipino,University,3,Social Media,Chem Lab,8,Hall,2,Strongly Disagree,Yes,29/01/2020,Partly Like
29,Female,Protestantism,Indonesian,Secondary School/Associate Degree/Diploma,1,School Website,Chem Lab,8,Hall,4,Neutral,No,29/01/2020,Strongly Like
54,Male,Hinduism,Filipino,Secondary School/Associate Degree/Diploma,4,Newspaper/ Magazine,VA room,5,Phy Lab,10,Disagree,Yes,28/01/2020,Normal
53,Female,Chinese God,English,Primary School or below,3,Newspaper/ Magazine,Library,10,Canteen,5,Strongly Agree,Yes,28/01/2020,Partly Dislike
60,Male,Hinduism,Indonesian,Master or above,1,Social Media,Hall,4,Bio Lab,10,Neutral,No,28/01/2020,Strongly Dislike
46,Female,Taoism,Vietnamese,Master or above,2,Friends/Extended Family/Neighbour,VA room,6,Hall,8,Agree,Yes,28/01/2020,Strongly Like
19,Female,Catholicism,Mandarin,University,2,Newspaper/ Magazine,Chem Lab,9,Chem Lab,7,Strongly Disagree,,28/01/2020,Partly Dislike
54,Male,Hinduism,Cantonese,Primary School or below,3,Friends/Extended Family/Neighbour,Basketball Court,7,Phy Lab,4,Neutral,No,29/01/2020,Partly Like
18,Male,Sikhism,Indonesian,University,5,Friends/Extended Family/Neighbour,Hall,9,Hall,8,Strongly Agree,Yes,29/01/2020,Partly Like
23,Male,Buddhism,Filipino,University,5,Friends/Extended Family/Neighbour,Phy Lab,4,Bio Lab,7,Strongly Agree,No,28/01/2020,Strongly Like
49,Female,Islam,Indonesian,Secondary School/Associate Degree/Diploma,3,School Website,VA room,3,Chem Lab,1,Agree,,29/01/2020,Strongly Like
38,Female,Chinese God,Vietnamese,University,3,School Website,Phy Lab,0,Phy Lab,7,Strongly Disagree,No,28/01/2020,Partly Dislike
29,Male,Islam,Vietnamese,Master or above,5,Newspaper/ Magazine,Chem Lab,8,Phy Lab,8,Agree,Yes,28/01/2020,Normal
26,Female,Buddhism,English,Master or above,4,Social Media,VA room,5,VA room,8,Strongly Disagree,No,29/01/2020,Partly Dislike
43,Female,Protestantism,Cantonese,Master or above,0,School Website,Chem Lab,3,VA room,1,Neutral,No,29/01/2020,Partly Dislike
24,Genderfluid,Confucianism,Cantonese,Master or above,1,Newspaper/ Magazine,Hall,1,Phy Lab,6,Neutral,No,29/01/2020,Strongly Dislike
40,Female,Catholicism,Thai,University,3,Friends/Extended Family/Neighbour,Canteen,0,VA room,10,Disagree,No,29/01/2020,Strongly Dislike
24,Female,Taoism,English,Primary School or below,3,Social Media,Basketball Court,1,Basketball Court,10,Disagree,No,28/01/2020,Strongly Dislike
44,Male,Confucianism,English,University,2,Friends/Extended Family/Neighbour,Hall,7,Chem Lab,4,Neutral,No,28/01/2020,Partly Dislike
56,Male,Buddhism,Cantonese,University,0,Friends/Extended Family/Neighbour,Library,5,Canteen,9,Neutral,,28/01/2020,Partly Dislike
58,Female,Protestantism,Mandarin,Secondary School/Associate Degree/Diploma,5,Social Media,Hall,4,VA room,6,Disagree,No,28/01/2020,Strongly Dislike
18,Female,Islam,Mandarin,University,2,Friends/Extended Family/Neighbour,Library,5,Hall,9,Agree,,28/01/2020,Normal
44,Male,Catholicism,Filipino,Master or above,5,Newspaper/ Magazine,VA room,10,Bio Lab,0,Strongly Disagree,Yes,28/01/2020,Normal
41,Male,Hinduism,Cantonese,Master or above,0,Newspaper/ Magazine,Phy Lab,10,Hall,8,Strongly Agree,Yes,28/01/2020,Strongly Like
32,Female,Catholicism,Mandarin,Primary School or below,4,School Website,Basketball Court,4,Canteen,5,Neutral,Yes,28/01/2020,Partly Dislike
43,Female,Taoism,English,University,0,Newspaper/ Magazine,Chem Lab,10,Canteen,1,Strongly Disagree,No,29/01/2020,Partly Dislike
57,Female,Islam,Thai,Primary School or below,0,Newspaper/ Magazine,Hall,8,Canteen,7,Agree,Yes,29/01/2020,Partly Dislike
40,Agender,Buddhism,Filipino,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,VA room,7,Hall,6,Disagree,No,28/01/2020,Partly Dislike
21,Non-binary,Islam,Cantonese,Primary School or below,1,Friends/Extended Family/Neighbour,Bio Lab,1,Library,10,Neutral,Yes,28/01/2020,Partly Like
42,Male,Hinduism,Mandarin,University,3,Social Media,Chem Lab,6,Phy Lab,1,Strongly Disagree,No,28/01/2020,Partly Like
51,Female,Catholicism,Filipino,Master or above,4,Friends/Extended Family/Neighbour,Bio Lab,9,Phy Lab,9,Disagree,,28/01/2020,Normal
54,Male,Chinese God,Vietnamese,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,Phy Lab,6,Chem Lab,0,Strongly Agree,,28/01/2020,Normal
49,Male,Islam,Thai,Master or above,1,Social Media,Hall,8,Bio Lab,2,Strongly Disagree,,28/01/2020,Normal
49,Female,Protestantism,Cantonese,Secondary School/Associate Degree/Diploma,0,Friends/Extended Family/Neighbour,Basketball Court,3,Chem Lab,4,Strongly Agree,No,29/01/2020,Partly Dislike
30,Genderqueer,Chinese God,Thai,Master or above,0,Friends/Extended Family/Neighbour,Hall,6,Basketball Court,1,Neutral,No,29/01/2020,Partly Dislike
39,Female,Buddhism,Cantonese,University,1,Friends/Extended Family/Neighbour,Library,4,Library,9,Neutral,Yes,29/01/2020,Partly Dislike
48,Female,Sikhism,Filipino,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Library,6,Basketball Court,9,Disagree,Yes,28/01/2020,Partly Dislike
28,Male,Sikhism,Cantonese,Secondary School/Associate Degree/Diploma,1,School Website,Library,7,Hall,4,Neutral,No,28/01/2020,Normal
33,Male,Islam,Cantonese,Primary School or below,1,Social Media,Library,1,Chem Lab,0,Strongly Agree,Yes,29/01/2020,Normal
45,Male,Chinese God,Mandarin,Primary School or below,3,Newspaper/ Magazine,Canteen,0,Bio Lab,7,Agree,No,28/01/2020,Strongly Dislike
56,Male,Protestantism,Vietnamese,Secondary School/Associate Degree/Diploma,3,School Website,Hall,5,Library,5,Neutral,Yes,29/01/2020,Strongly Like
39,Non-binary,Islam,Filipino,Primary School or below,5,Newspaper/ Magazine,Canteen,9,VA room,4,Neutral,Yes,28/01/2020,Strongly Dislike
22,Genderfluid,Chinese God,Filipino,University,3,Social Media,Canteen,6,Basketball Court,9,Strongly Disagree,Yes,28/01/2020,Normal
21,Male,Protestantism,Indonesian,University,2,School Website,Canteen,7,Canteen,10,Disagree,No,29/01/2020,Normal
39,Female,Confucianism,Vietnamese,University,0,Friends/Extended Family/Neighbour,Basketball Court,6,Phy Lab,8,Strongly Disagree,Yes,28/01/2020,Strongly Dislike
26,Female,Chinese God,Mandarin,University,5,School Website,Canteen,9,Basketball Court,6,Strongly Disagree,No,28/01/2020,Partly Dislike
30,Female,Buddhism,Vietnamese,Secondary School/Associate Degree/Diploma,4,School Website,Basketball Court,7,Basketball Court,1,Agree,No,29/01/2020,Strongly Dislike
35,Female,Taoism,Filipino,Secondary School/Associate Degree/Diploma,5,Social Media,VA room,6,Bio Lab,5,Neutral,Yes,29/01/2020,Partly Like
57,Male,Taoism,English,Primary School or below,0,School Website,Basketball Court,1,Bio Lab,9,Strongly Agree,Yes,28/01/2020,Partly Like
46,Female,Taoism,Filipino,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,Basketball Court,5,Basketball Court,6,Agree,Yes,28/01/2020,Strongly Like
39,Female,Catholicism,English,Secondary School/Associate Degree/Diploma,1,School Website,Phy Lab,8,VA room,1,Neutral,No,28/01/2020,Partly Dislike
25,Polygender,Catholicism,Cantonese,University,4,Social Media,Basketball Court,4,Phy Lab,4,Agree,No,29/01/2020,Partly Like
47,Male,Islam,Thai,Secondary School/Associate Degree/Diploma,1,School Website,Phy Lab,4,Library,5,Agree,No,29/01/2020,Partly Like
40,Female,Taoism,English,University,3,Social Media,Canteen,7,VA room,6,Strongly Disagree,No,28/01/2020,Strongly Dislike
60,Male,Chinese God,English,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,VA room,0,Library,3,Disagree,No,28/01/2020,Strongly Like
20,Female,Catholicism,Cantonese,Master or above,5,Newspaper/ Magazine,Hall,8,Library,4,Strongly Agree,No,29/01/2020,Strongly Dislike
25,Female,Chinese God,Vietnamese,Master or above,4,Newspaper/ Magazine,Hall,6,Hall,3,Agree,Yes,28/01/2020,Strongly Dislike
20,Female,Protestantism,Vietnamese,Primary School or below,0,Friends/Extended Family/Neighbour,Hall,5,Canteen,0,Strongly Disagree,No,28/01/2020,Normal
56,Female,Buddhism,Mandarin,Secondary School/Associate Degree/Diploma,2,Friends/Extended Family/Neighbour,Chem Lab,6,Library,1,Neutral,No,28/01/2020,Partly Like
50,Female,Hinduism,Mandarin,University,1,Friends/Extended Family/Neighbour,Library,3,Canteen,6,Disagree,,29/01/2020,Partly Dislike
39,Female,Protestantism,English,Primary School or below,2,School Website,VA room,3,Chem Lab,1,Neutral,No,28/01/2020,Normal
43,Female,Taoism,Thai,Master or above,4,Newspaper/ Magazine,Chem Lab,1,Phy Lab,7,Agree,No,28/01/2020,Strongly Dislike
56,Female,Catholicism,English,Primary School or below,2,School Website,Hall,4,Library,8,Neutral,No,29/01/2020,Normal
54,Male,Islam,English,University,1,Social Media,Chem Lab,4,Bio Lab,2,Agree,No,29/01/2020,Strongly Dislike
25,Male,Buddhism,Indonesian,University,1,Friends/Extended Family/Neighbour,Hall,9,Bio Lab,7,Disagree,No,28/01/2020,Partly Dislike
59,Female,Taoism,English,University,1,School Website,Hall,10,Library,1,Agree,Yes,29/01/2020,Strongly Like
59,Female,Chinese God,English,Secondary School/Associate Degree/Diploma,4,Newspaper/ Magazine,Chem Lab,7,Library,0,Strongly Disagree,Yes,28/01/2020,Partly Dislike
23,Male,Protestantism,Filipino,Master or above,3,Newspaper/ Magazine,Basketball Court,1,Phy Lab,9,Disagree,,28/01/2020,Strongly Like
57,Male,Catholicism,Cantonese,Primary School or below,1,Newspaper/ Magazine,Canteen,2,Canteen,1,Strongly Agree,No,29/01/2020,Strongly Dislike
54,Female,Catholicism,Vietnamese,University,3,School Website,VA room,2,Canteen,10,Neutral,No,28/01/2020,Normal
37,Female,Chinese God,Filipino,Secondary School/Associate Degree/Diploma,4,Friends/Extended Family/Neighbour,Bio Lab,5,Basketball Court,9,Disagree,Yes,29/01/2020,Partly Like
53,Female,Taoism,Indonesian,Secondary School/Associate Degree/Diploma,2,Social Media,Chem Lab,5,Library,3,Disagree,Yes,29/01/2020,Partly Like
20,Male,Sikhism,Cantonese,Primary School or below,5,Newspaper/ Magazine,Phy Lab,7,Canteen,2,Neutral,Yes,29/01/2020,Partly Like
34,Male,Chinese God,Cantonese,Secondary School/Associate Degree/Diploma,4,Friends/Extended Family/Neighbour,Canteen,5,Library,0,Neutral,Yes,29/01/2020,Strongly Dislike
24,Genderfluid,Catholicism,Indonesian,Secondary School/Associate Degree/Diploma,3,Social Media,Phy Lab,9,VA room,4,Disagree,No,28/01/2020,Normal
44,Female,Taoism,Vietnamese,Master or above,1,Social Media,Bio Lab,8,Hall,1,Strongly Disagree,No,28/01/2020,Strongly Like
34,Female,Islam,Cantonese,University,2,Newspaper/ Magazine,Chem Lab,9,Phy Lab,8,Strongly Agree,No,29/01/2020,Strongly Dislike
18,Male,Protestantism,Thai,Secondary School/Associate Degree/Diploma,1,School Website,VA room,2,Phy Lab,1,Agree,Yes,29/01/2020,Partly Like
52,Male,Protestantism,Vietnamese,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,Basketball Court,3,Hall,7,Agree,Yes,28/01/2020,Strongly Dislike
28,Female,Catholicism,Vietnamese,Primary School or below,5,School Website,Basketball Court,8,Basketball Court,0,Disagree,Yes,29/01/2020,Normal
28,Genderqueer,Buddhism,Mandarin,Primary School or below,3,School Website,Chem Lab,6,Hall,1,Neutral,No,29/01/2020,Partly Like
38,Male,Taoism,Indonesian,Primary School or below,3,Newspaper/ Magazine,Basketball Court,10,Basketball Court,10,Strongly Disagree,No,28/01/2020,Strongly Dislike
36,Female,Sikhism,Mandarin,University,5,Newspaper/ Magazine,Bio Lab,6,Library,0,Strongly Disagree,No,28/01/2020,Partly Like
29,Female,Protestantism,Thai,Primary School or below,3,Social Media,Bio Lab,0,Library,1,Strongly Agree,Yes,28/01/2020,Partly Like
18,Male,Protestantism,Vietnamese,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,Canteen,6,Phy Lab,5,Strongly Disagree,No,28/01/2020,Strongly Like
21,Male,Islam,Cantonese,Master or above,3,Newspaper/ Magazine,Phy Lab,3,Chem Lab,9,Disagree,No,28/01/2020,Strongly Like
50,Male,Sikhism,Cantonese,Master or above,5,School Website,Hall,0,Canteen,0,Disagree,Yes,29/01/2020,Partly Dislike
18,Female,Islam,Mandarin,University,3,Friends/Extended Family/Neighbour,Library,8,Hall,2,Neutral,Yes,29/01/2020,Partly Dislike
54,Male,Hinduism,Filipino,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Bio Lab,1,Library,5,Disagree,Yes,28/01/2020,Strongly Like
51,Male,Sikhism,Filipino,Master or above,4,Newspaper/ Magazine,Bio Lab,10,Phy Lab,4,Strongly Agree,Yes,28/01/2020,Normal
48,Male,Taoism,Indonesian,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Canteen,7,Library,2,Agree,No,28/01/2020,Normal
37,Agender,Sikhism,Cantonese,Secondary School/Associate Degree/Diploma,2,School Website,Chem Lab,2,Chem Lab,1,Neutral,,29/01/2020,Partly Dislike
57,Female,Protestantism,Cantonese,University,4,Friends/Extended Family/Neighbour,Basketball Court,6,Canteen,7,Agree,Yes,28/01/2020,Partly Dislike
21,Male,Chinese God,Indonesian,Master or above,5,Newspaper/ Magazine,Phy Lab,8,VA room,2,Strongly Agree,Yes,29/01/2020,Strongly Like
28,Male,Confucianism,Filipino,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Canteen,8,Library,7,Disagree,Yes,29/01/2020,Partly Like
34,Female,Islam,Vietnamese,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Bio Lab,0,Library,1,Strongly Agree,No,29/01/2020,Strongly Dislike
18,Female,Hinduism,Indonesian,Secondary School/Associate Degree/Diploma,2,Friends/Extended Family/Neighbour,Bio Lab,5,Canteen,9,Strongly Agree,Yes,28/01/2020,Strongly Like
41,Female,Confucianism,Vietnamese,Primary School or below,3,Newspaper/ Magazine,Hall,4,Library,2,Strongly Agree,,28/01/2020,Strongly Dislike
29,Female,Chinese God,Vietnamese,Secondary School/Associate Degree/Diploma,2,Social Media,Basketball Court,5,Hall,0,Strongly Agree,No,29/01/2020,Normal
44,Genderfluid,Buddhism,English,Master or above,3,Newspaper/ Magazine,Phy Lab,5,Phy Lab,5,Disagree,No,28/01/2020,Strongly Like
28,Male,Taoism,Filipino,Master or above,3,School Website,Chem Lab,3,Canteen,6,Strongly Disagree,No,29/01/2020,Strongly Like
50,Male,Buddhism,Filipino,Primary School or below,5,School Website,Canteen,0,VA room,9,Strongly Disagree,No,28/01/2020,Partly Dislike
29,Male,Chinese God,Thai,Secondary School/Associate Degree/Diploma,3,School Website,Canteen,0,Hall,5,Neutral,Yes,28/01/2020,Strongly Like
53,Female,Buddhism,Indonesian,Master or above,4,Friends/Extended Family/Neighbour,VA room,9,Chem Lab,1,Agree,,29/01/2020,Partly Like
26,Male,Islam,Filipino,Primary School or below,3,Social Media,Phy Lab,8,Phy Lab,4,Disagree,,29/01/2020,Partly Dislike
38,Female,Buddhism,Vietnamese,University,3,Newspaper/ Magazine,Chem Lab,9,Bio Lab,9,Disagree,No,28/01/2020,Normal
57,Female,Islam,Filipino,University,1,School Website,Hall,8,Bio Lab,8,Strongly Disagree,,28/01/2020,Partly Like
21,Female,Protestantism,Filipino,Secondary School/Associate Degree/Diploma,4,School Website,Chem Lab,6,Hall,1,Strongly Disagree,Yes,29/01/2020,Normal
21,Female,Sikhism,Mandarin,Primary School or below,5,School Website,Library,9,Library,6,Strongly Agree,Yes,29/01/2020,Normal
42,Female,Confucianism,Vietnamese,Secondary School/Associate Degree/Diploma,5,Social Media,Canteen,8,Library,3,Neutral,No,29/01/2020,Partly Like
39,Female,Chinese God,Cantonese,Primary School or below,5,Social Media,Chem Lab,1,Bio Lab,9,Strongly Disagree,No,29/01/2020,Normal
